gate_id,description,pass,audit_note
F01,Exactly three raw ICBcomb platform CSVs with required 14-column contract,True,
F02,Core final query-gene-set files present,True,
F03,Melanocytic hybrid reference/control retained for full S27 contract,True,
F04,"All 13 GMT entries exactly match TXT, long-format, summary and upload-manifest counts",True,
F05,Final query contract exact: 98 RESTORE / 73 SUPPRESS / 81 SUPPRESS; melanocytic reference=32,True,
F06,Historical combined raw table exactly binds the three raw source CSVs,True,Max raw numeric CSV round-trip diff=5.107e-15; atol=1e-12; no scientific tolerance.
F07,Historical positive rows are exactly NES > 0 and n=42,True,NES>0 row universe exact; max serialized numeric diff=0.000e+00; atol=1e-12; no scientific tolerance.
F08,Historical state-strategy summary has 10 rows,True,
F09,Historical final query count table equals 98/73/81,True,
F10,Current historical-reference snapshot equals previously supplied reversal-analysis archive,True,
