State,Strategy,median_reversal_score,mean_reversal_score,max_reversal_score,support_n,support_dataset_n,min_FDR_q_val,median_FDR_q_val,representative_datasets,representative_names,rank_within_state
immune-defective/cold,Cytokine/IL-15 + ICB,2.2592815400855706,2.2592815400855706,2.2592815400855706,1,1,0,0,GSE157893_HCC_anti-PD-1+IL-15_CD8+T-Cells,prerank,1
immune-defective/cold,Avadomide/IMiD + ICB,2.180234875209325,2.0371064019426983,2.68668922783024,10,2,0,0,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells; GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,prerank,2
immune-defective/cold,Epigenetic therapy + ICB,1.4446937816761298,1.4204815394478665,1.6093077152201498,3,3,0.008323424494649217,0.018930957683741603,E-MTAB-11058_UM_anti-PD-1+Entinostat_92-1-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_MP41-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_UM22-Cell-Line,prerank,3
immune-defective/cold,Ascorbic acid + ICB,1.2306283508683498,1.2306283508683498,1.2306283508683498,1,1,0.185606060606061,0.185606060606061,GSE141444_Lymphoma_anti-PD-1+Ascorbic-Acid_Ly1-Cell-Line,prerank,4
myeloid–Treg immunosuppressive,Avadomide/IMiD + ICB,2.0224243431033497,1.8249565273808142,2.40569751689909,10,2,0,0,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells; GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,prerank,1
myeloid–Treg immunosuppressive,Epigenetic therapy + ICB,1.6338458107037501,1.5821813708071,1.67769038694087,3,3,0,0.0048602673147022995,E-MTAB-11058_UM_anti-PD-1+Entinostat_92-1-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_MP41-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_UM22-Cell-Line,prerank,2
myeloid–Treg immunosuppressive,Ascorbic acid + ICB,1.3213271976158099,1.3213271976158099,1.3213271976158099,1,1,0.12433862433862401,0.12433862433862401,GSE141444_Lymphoma_anti-PD-1+Ascorbic-Acid_Ly1-Cell-Line,prerank,3
tumor-dedifferentiation/stromal-remodeling,Epigenetic therapy + ICB,1.7961455210629302,1.6825008921740168,1.8212523181354,3,3,0,0,E-MTAB-11058_UM_anti-PD-1+Entinostat_92-1-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_MP41-Cell-Line; E-MTAB-11058_UM_anti-PD-1+Entinostat_UM22-Cell-Line,prerank,1
tumor-dedifferentiation/stromal-remodeling,Avadomide/IMiD + ICB,1.65565535186319,1.5389298283998223,1.7430511868943,9,2,0,0.005201560468140439,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells; GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,prerank,2
tumor-dedifferentiation/stromal-remodeling,Ascorbic acid + ICB,1.23522283072629,1.23522283072629,1.23522283072629,1,1,0.20232896652110602,0.20232896652110602,GSE141444_Lymphoma_anti-PD-1+Ascorbic-Acid_Ly1-Cell-Line,prerank,3
