SourceFile,State,Direction,GeneSetVersion,StrategyRaw,StrategyCategory,Strategy,Dataset,ComparisonType,Path,Group
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Ascorbic acid + ICB,Ascorbic acid + ICB,GSE141444_Lymphoma_anti-PD-1+Ascorbic-Acid_Ly1-Cell-Line,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/DrugControl/GSE141444_Lymphoma_anti-PD-1+Ascorbic-Acid_Ly1-Cell-Line.png,Drug vs. Control
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationControl/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. Control
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationControl/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. Control
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationICB/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. ICB
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationICB/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. ICB
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationDrug/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. Drug
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/CombinationDrug/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. Drug
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/ICBControl/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,ICB vs. Control
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/ICBControl/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,ICB vs. Control
ICBcomb_Immune_cold_RESTORE_hybrid_results.csv,immune-defective/cold,RESTORE,hybrid,prerank,Avadomide/IMiD + ICB,Avadomide/IMiD + ICB,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Immune_cold_RESTORE_hybrid202605033844/Compound/DrugControl/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Drug vs. Control
