"signature","gene","present"
"Tumor_plasticity_dedifferentiation","AXL",TRUE
"Tumor_plasticity_dedifferentiation","NGFR",TRUE
"Tumor_plasticity_dedifferentiation","WNT5A",TRUE
"Tumor_plasticity_dedifferentiation","EGFR",TRUE
"Tumor_plasticity_dedifferentiation","SOX9",TRUE
"Tumor_plasticity_dedifferentiation","VIM",TRUE
"Tumor_plasticity_dedifferentiation","FN1",TRUE
"Tumor_plasticity_dedifferentiation","ITGA5",TRUE
"Tumor_plasticity_dedifferentiation","TNC",TRUE
"Tumor_plasticity_dedifferentiation","LOXL2",TRUE
"Tumor_plasticity_dedifferentiation","ZEB1",TRUE
