"gene","spearman_rho","p_value","fdr"
"GBP5",-0.956620209059234,1.71155201322695e-22,3.21070042161244e-18
"IL2RB",-0.945993031358885,1.11564650105744e-20,1.04642063566682e-16
"NLRC5",-0.94425087108014,2.03971969714064e-20,1.27543672662204e-16
"APOL3",-0.939372822299652,1.00183039656323e-19,4.66747206376218e-16
"LAG3",-0.938675958188153,1.24406206721099e-19,4.66747206376218e-16
"PTPN7",-0.932926829268293,6.77820804843037e-19,2.11920674634175e-15
"IRF1",-0.930836236933798,1.21004514981924e-18,3.24274813792273e-15
"CD2",-0.929442508710802,1.7630278779531e-18,4.13407999531527e-15
"CCR5",-0.927177700348432,3.19799516797889e-18,6.66568792845733e-15
"SIRPG",-0.925771054304954,4.58501140058835e-18,8.60102288636369e-15
"CCL5",-0.924912891986063,5.69235082217655e-18,8.8985674227675e-15
"NKG7",-0.924912891986063,5.69235082217655e-18,8.8985674227675e-15
"PSMB9",-0.921602787456446,1.28092320143304e-17,1.84837217966787e-14
"CXCL9",-0.92020905923345,1.7833293585059e-17,2.38953395972944e-14
"CCL4",-0.917073170731707,3.67491520631962e-17,4.30860839720936e-14
"CD8B",-0.917073170731707,3.67491520631962e-17,4.30860839720936e-14
"CD8A",-0.916202090592335,4.46972793074418e-17,4.93221330899e-14
"IL32",-0.915679442508711,5.02180891669185e-17,5.15351265783254e-14
"LCK",-0.915505226480836,5.21972069400385e-17,5.15351265783254e-14
"SNX20",-0.912891986062718,9.23012506329479e-17,8.65739580311735e-14
"GBP1",-0.910104529616725,1.66289177421735e-16,1.48543746631158e-13
"CD3G",-0.909217647536843,1.99742571194844e-16,1.7031685877473e-13
"SLA2",-0.907317073170732,2.94008125658788e-16,2.39795583879704e-13
"FASLG",-0.906778198118385,3.27571107390014e-16,2.56037766813719e-13
"HCST",-0.906271777003485,3.62381480648855e-16,2.71916567819675e-13
"SLFN12L",-0.905732719796189,4.03256012456348e-16,2.90949212987255e-13
"UBASH3A",-0.905300946017184,4.39094411524812e-16,2.98516864752174e-13
"IL2RG",-0.905226480836237,4.45571310467556e-16,2.98516864752174e-13
"CD27",-0.90418118466899,5.46557822659565e-16,3.53518577289488e-13
"TAGAP",-0.904006968641115,5.65358351654386e-16,3.53518577289488e-13
"NCKAP1L",-0.90383275261324,5.84767944823741e-16,3.53860060546728e-13
"ITGAL",-0.903310104529617,6.46838843775849e-16,3.79189058449724e-13
"KLRK1",-0.90308811445043,6.75040594742559e-16,3.83729894447747e-13
"SEPT1",-0.902090592334495,8.16705758205558e-16,4.5060539171112e-13
"SLAMF6",-0.901550806507403,9.04623038293885e-16,4.84852102153e-13
"SIT1",-0.898993859470284,1.45672647249038e-15,7.59075886040198e-13
"CD38",-0.898606271777004,1.56408471060987e-15,7.92990948279203e-13
"C16orf54",-0.898257839721255,1.66692777568305e-15,8.22892056422061e-13
"IL21R",-0.897560975609756,1.89204656471141e-15,9.10074397626188e-13
"PDCD1",-0.896886843663951,2.13687121859156e-15,9.81702382249455e-13
"RASAL3",-0.896864111498258,2.14562597538396e-15,9.81702382249455e-13
"SECTM1",-0.896515679442509,2.28412283549395e-15,1.02018714931026e-12
"KLHDC7B",-0.89629339341955,2.37683820040151e-15,1.03644356870924e-12
"CD3E",-0.89616724738676,2.43102068464239e-15,1.03644356870924e-12
"CD247",-0.894773519163763,3.11254633472238e-15,1.29751681540127e-12
"PRF1",-0.894425087108014,3.30912634282185e-15,1.34947611010859e-12
"CXCR6",-0.894250871080139,3.41175152749505e-15,1.36172440221872e-12
"C1QB",-0.893205574912892,4.09336435727187e-15,1.59973795787631e-12
"SASH3",-0.893031358885018,4.21875907071419e-15,1.6150959470924e-12
"TIGIT",-0.892682926829268,4.48049371621099e-15,1.68099163244804e-12
"PTPN6",-0.892334494773519,4.75748597528636e-15,1.7499152825568e-12
"SP140",-0.892160278745645,4.90196216659976e-15,1.76838285160086e-12
"VAV1",-0.891114982578397,5.85951541142908e-15,2.07393678496223e-12
"RARRES3",-0.890243902439025,6.78952985654209e-15,2.35860723294209e-12
"CD3D",-0.888675958188153,8.82384340888078e-15,3.00957233649445e-12
"SCIMP",-0.888366218883523,9.28840587147319e-15,3.11145010255295e-12
"CD6",-0.887630662020906,1.04857039863976e-14,3.45090036983918e-12
"APBB1IP",-0.887108013937282,1.14232856644413e-14,3.69464509964232e-12
"NCF1",-0.88623693379791,1.31636523046164e-14,4.09686325519776e-12
"IKZF3",-0.886188423681318,1.32675691246274e-14,4.09686325519776e-12
"TBX21",-0.886138087432609,1.3376214915068e-14,4.09686325519776e-12
"CD74",-0.886062717770035,1.35404617422177e-14,4.09686325519776e-12
"PLEK",-0.88588850174216,1.39274204993679e-14,4.1470552563118e-12
"IL12RB1",-0.885017421602788,1.60236329591268e-14,4.69667704187907e-12
"IL10RA",-0.884494773519164,1.74205031401523e-14,5.02755720624795e-12
"INPP5D",-0.883623693379791,2.00066550446771e-14,5.68643699974389e-12
"UBE2L6",-0.883275261324042,2.1139092558742e-14,5.91863040760359e-12
"GZMK",-0.882926829268293,2.23317367996634e-14,6.16060368566009e-12
"CD72",-0.882578397212544,2.35875814826915e-14,6.41274552222914e-12
"TYMP",-0.882404181184669,2.42401772438864e-14,6.49602121311522e-12
"EPSTI1",-0.881533101045296,2.77663690500994e-14,7.33618756353259e-12
"SERPINA1",-0.881358885017422,2.85272833303137e-14,7.43254594435216e-12
"LCP1",-0.881010452961673,3.01084333516508e-14,7.73704248278927e-12
"HLA-DRA",-0.880487804878049,3.2635728306755e-14,8.27315712576239e-12
"HLA-DMB",-0.879480814458526,3.80786126299898e-14,9.52422259101306e-12
"CD53",-0.878397212543554,4.48851820908243e-14,1.10789622479181e-11
"SAMD3",-0.878081721274257,4.7072812666648e-14,1.14680375690085e-11
"GZMH",-0.877700348432056,4.98513734441877e-14,1.19892553133272e-11
"GZMB",-0.877351916376307,5.2524332085433e-14,1.24722018429195e-11
"HLA-DQA1",-0.877003484320558,5.53318721645631e-14,1.2974632374188e-11
"ZBP1",-0.87653073729846,5.93676469225905e-14,1.37491072669244e-11
"CTSW",-0.876306620209059,6.13763147850551e-14,1.40409547445469e-11
"P2RY10",-0.876110834000623,6.31832822682095e-14,1.428018303698e-11
"CTSS",-0.87595818815331,6.46267310956126e-14,1.44325339121738e-11
"JAKMIP1",-0.875119908783417,7.31234808899397e-14,1.61379220942868e-11
"NLRC3",-0.874891109291393,7.56191615441678e-14,1.64946494349656e-11
"PSMB10",-0.87404181184669,8.56024286420799e-14,1.84576546999629e-11
"AOAH",-0.873519163763066,9.23495895241964e-14,1.92487327764933e-11
"PTPRC",-0.873519163763066,9.23495895241964e-14,1.92487327764933e-11
"RHOH",-0.873519163763066,9.23495895241964e-14,1.92487327764933e-11
"ARHGAP9",-0.873170731707317,9.71225744778883e-14,1.98035040720729e-11
"GIMAP6",-0.873170731707317,9.71225744778883e-14,1.98035040720729e-11
"SLC7A7",-0.872299651567944,1.10091381967632e-13,2.22064971433421e-11
"BIN2",-0.871428571428572,1.24678316426343e-13,2.48812823174656e-11
"LILRB4",-0.871080139372822,1.31007578115882e-13,2.58691700829035e-11
"GBP2",-0.870905923344948,1.34284490374733e-13,2.59695129375219e-11
"HAVCR2",-0.870905923344948,1.34284490374733e-13,2.59695129375219e-11
"C1QC",-0.870383275261324,1.44584400320808e-13,2.76761098532453e-11
"GPR174",-0.869837964067444,1.56121035157323e-13,2.9582570692083e-11
"UBD",-0.868989547038328,1.75807288805801e-13,3.29796893070801e-11
