"gene","spearman_rho","p_value","fdr"
"TNFRSF10D",-0.743760617457101,2.52110094088549e-08,7.29150522945998e-06
"STK17A",-0.74198606271777,2.8337920118071e-08,7.81751534551316e-06
"IQCA1",-0.728888958082503,6.52951459951156e-08,1.4937459069785e-05
"NFYB",-0.727003484320558,7.33438528234183e-08,1.61865568837001e-05
"ID3",-0.726655052264809,7.49285978738051e-08,1.63440182269152e-05
"ADAMTS9",-0.714808362369338,1.52116101961517e-07,2.66686538008981e-05
"THBS1",-0.713414634146342,1.64948928667221e-07,2.81297904806219e-05
"SOCS3",-0.712891986062718,1.70014909486465e-07,2.87325197032126e-05
"LRIG1",-0.710278745644599,1.97581601130887e-07,3.28002942974717e-05
"LPAR1",-0.709233449477352,2.09726066755369e-07,3.33411125954573e-05
"F3",-0.704355400696864,2.76108496406309e-07,4.07836164101256e-05
"NHS",-0.703658536585366,2.87042674316266e-07,4.15043898162843e-05
"NGF",-0.701277047705442,3.27511798874548e-07,4.46616292716952e-05
"GUCY1B3",-0.697560975609756,4.01337545561272e-07,5.30189508252387e-05
"KCTD17",-0.695121951219512,4.57867565987325e-07,5.88297100709331e-05
"GFRA1",-0.693152127616244,5.08808813879483e-07,6.44915171592245e-05
"CXCL6",-0.692498105040128,5.2684970347937e-07,6.63300240776477e-05
"TSPAN13",-0.690940766550523,5.72217382698938e-07,7.06199071187459e-05
"NUAK1",-0.689372822299652,6.21522529269598e-07,7.52202653326993e-05
"ERRFI1",-0.688675958188153,6.44672870746737e-07,7.75219127072952e-05
"TMEM47",-0.687456445993032,6.87114571936728e-07,7.95653225614881e-05
"ARNTL2",-0.682752613240418,8.76197282681197e-07,9.78368144393844e-05
"GEM",-0.680313588850174,9.9217191726948e-07,0.000108842999976948
"DDAH1",-0.673693379790941,1.38224618340655e-06,0.000140159762997424
"TUBB6",-0.673344947735192,1.40625363785801e-06,0.000141827483831067
"FUOM",-0.67212543554007,1.49334316962026e-06,0.00014980547871073
"JUNB",-0.67020905923345,1.64030366406692e-06,0.00016194977070648
"CH25H",-0.666928002723304,1.92325200500129e-06,0.000182213557382926
"NNMT",-0.665505226480836,2.05940281178429e-06,0.000193161686731307
"MCUB",-0.665156794425087,2.09407310491442e-06,0.000194468897896483
"ANKRD29",-0.66411149825784,2.2013384459065e-06,0.000202426019150784
"PTPRN2",-0.663240418118467,2.29457024255779e-06,0.000208950695049231
"HIF1A",-0.662020905923345,2.43121643448081e-06,0.000216147815613391
"S1PR3",-0.660452961672474,2.61792195888398e-06,0.0002263115116438
"CHST2",-0.659059233449477,2.79487873105252e-06,0.000239402420620156
"CARHSP1",-0.658362369337979,2.88742867619879e-06,0.000242893607788399
"SNCG",-0.65744896686764,3.01301188894655e-06,0.000250093318693577
"CAMK1",-0.654529616724739,3.44890013208758e-06,0.000276486827255688
"CIB1",-0.653135888501742,3.67683399026162e-06,0.000291028391659568
"MCEMP1",-0.652482160096378,3.78845192131288e-06,0.000297353847664888
"RGS16",-0.652264808362369,3.82624774365329e-06,0.000297828138685445
"S100A9",-0.650348432055749,4.17482311757159e-06,0.000313262027450102
"S100A8",-0.649651567944251,4.30865588903721e-06,0.000318212896938775
"TWSG1",-0.649303135888502,4.37704161144174e-06,0.000321995778780532
"PXDN",-0.648606271777004,4.51681690867925e-06,0.000329692484007448
"CRIP1",-0.647386759581882,4.77133977202564e-06,0.000345581323488143
"CCL20",-0.645070639269944,5.29137723277721e-06,0.000373161449284465
"CXCL2",-0.644191820812282,5.50196987012355e-06,0.000382696981610339
"TMEM39B",-0.643554006968641,5.65960346771164e-06,0.000390325372980892
"CHST1",-0.64198606271777,6.06491760007107e-06,0.000409251040502638
"ICAM2",-0.64198606271777,6.06491760007107e-06,0.000409251040502638
"DRAP1",-0.640940766550523,6.34975954720604e-06,0.000420901552459499
"MYL6",-0.640766550522648,6.39841053130496e-06,0.000421150116339473
"TNFRSF1A",-0.64006968641115,6.59645755287203e-06,0.00043266764767247
"BICC1",-0.637979094076655,7.22486770892114e-06,0.000470594768582124
"ST6GALNAC6",-0.637630662020906,7.3347930936941e-06,0.000476101673510753
"RRAD",-0.637174235190254,7.4811121478232e-06,0.000480610215003477
"PLAC9",-0.636268768406453,7.77934141932356e-06,0.000497051126908543
"PDLIM2",-0.636062717770035,7.84871356369874e-06,0.000499098365225168
"DDAH2",-0.635714285714286,7.96731492428719e-06,0.000503228487086544
"LBR",-0.635191637630662,8.14830311894819e-06,0.00050951339402783
"FAM89B",-0.634668989547038,8.33305670738178e-06,0.000517615267462831
"SMAGP",-0.634522410114491,8.38555756796421e-06,0.000518062502138367
"CDR2",-0.634146341463415,8.52164651975635e-06,0.00052241034988271
"GLIPR1",-0.633101045296167,8.91062406779597e-06,0.000540952740737167
"CPE",-0.631881533101045,9.38498005322174e-06,0.000560677837001231
"TFPI",-0.631881533101045,9.38498005322174e-06,0.000560677837001231
"CEBPB",-0.631707317073171,9.45460421510834e-06,0.000563044191972118
"MPP7",-0.631111171022655,9.6964487685551e-06,0.000573803414666641
"TDO2",-0.630836236933798,9.80988407224379e-06,0.000576876537025772
"ANXA7",-0.630487804878049,9.9553919239585e-06,0.000581785660752454
"NRP1",-0.630313588850174,1.00288854795622e-05,0.000584260443202196
"TESC",-0.629905484285816,1.02029971282615e-05,0.000587110500395884
"FAM20C",-0.629268292682927,1.04803932086515e-05,0.000601025434699559
"ADAMTSL3",-0.628506718027097,1.08210002702208e-05,0.000615124678997187
"HS3ST3B1",-0.627700348432056,1.11926757136511e-05,0.00063400256144435
"CSF2",-0.62551911335811,1.22574616660134e-05,0.000682652545355698
"CDC42EP2",-0.625435540069686,1.23000458622648e-05,0.000682652545355698
"RASL12",-0.625087108013937,1.24790514114846e-05,0.000688513310082468
"CSRNP1",-0.623519163763066,1.33144870955428e-05,0.000713618466929392
"RAP1B",-0.623519163763066,1.33144870955428e-05,0.000713618466929392
"COX7A1",-0.621254355400697,1.46118705759711e-05,0.000759291080705381
"TMEM200A",-0.621254355400697,1.46118705759711e-05,0.000759291080705381
"ANK1",-0.621144513084588,1.46776408035605e-05,0.000760601833795555
"PGD",-0.620731707317073,1.49272466059844e-05,0.000771405562208435
"FAM171A1",-0.620383275261324,1.5140945599479e-05,0.000779436031005105
"SKIL",-0.62020905923345,1.52488418028079e-05,0.000779436031005105
"CSTA",-0.619163763066202,1.5911133451121e-05,0.000806694465971837
"TTC9",-0.618989547038328,1.6024040231948e-05,0.000810229031566339
"CCL2",-0.61794425087108,1.67170181621337e-05,0.000829615194982716
"RAB31",-0.617770034843206,1.68351445653885e-05,0.000833273026126975
"RRAS",-0.616898954703833,1.74373133758409e-05,0.000851187731392293
"NPDC1",-0.616724738675958,1.75600859346883e-05,0.000851187731392293
"SVEP1",-0.616724738675958,1.75600859346883e-05,0.000851187731392293
"TMEM132E",-0.616608274124212,1.76426005993533e-05,0.00085219486786694
"ECE1",-0.616376306620209,1.78080061945648e-05,0.00085219486786694
"TMEM35B",-0.616376306620209,1.78080061945648e-05,0.00085219486786694
"PTGIR",-0.615612485386675,1.83627282516904e-05,0.000869864695135002
"TM4SF1",-0.614285714285714,1.93639893483777e-05,0.000905858045352163
"CALHM2",-0.612717770034843,2.06114779352597e-05,0.00094767332006749
