"gene","spearman_rho","p_value","fdr"
"MLANA",0.936748576688017,2.23528661969679e-19,4.1931741698892e-15
"DCT",0.922286126564299,1.08665091324799e-17,9.22321981808419e-14
"TYR",0.921011683947077,1.47500716745309e-17,9.22321981808419e-14
"PMEL",0.854131278304858,1.2423815681127e-12,5.82645895905656e-09
"MITF",0.848954703832753,2.33547803922856e-12,8.7622465075777e-09
"STK32A",0.842160278745645,5.16520357150223e-12,1.61490089663017e-08
"TFAP2A",0.833797909407666,1.30555958511048e-11,3.11938460178961e-08
"SYNGR1",0.833623693379791,1.33029888663132e-11,3.11938460178961e-08
"GTF2F2",0.832229965156795,1.54466609582532e-11,3.13771279394819e-08
"TUBB4A",0.831482208201924,1.67264395434095e-11,3.13771279394819e-08
"KCNJ13",0.823785254886354,3.71308513094877e-11,5.96261643503915e-08
"MFAP3L",0.823519163763066,3.81424368145796e-11,5.96261643503915e-08
"PAX3",0.816550522648084,7.59256908578062e-11,1.07000407731558e-07
"CABLES1",0.81602787456446,7.98553072254284e-11,1.07000407731558e-07
"PHLPP1",0.814459930313589,9.28190222404882e-11,1.11331442970788e-07
"CA14",0.81422126122917,9.49572518541824e-11,1.11331442970788e-07
"SEMA6A",0.808710801393728,1.59239420969974e-10,1.75716017527985e-07
"MYO10",0.80801393728223,1.6979722275233e-10,1.75882543967218e-07
"PPM1H",0.807491289198606,1.78142136328011e-10,1.75882543967218e-07
"ILVBL",0.805574912891986,2.12143288945504e-10,1.98979797866435e-07
"ST6GALNAC2",0.80383275261324,2.48241482710102e-10,2.19777302999783e-07
"CYP2U1",0.802787456445993,2.72581897057766e-10,2.19777302999783e-07
"PRAME",0.802439024390244,2.81179981448627e-10,2.19777302999783e-07
"SNCA",0.802439024390244,2.81179981448627e-10,2.19777302999783e-07
"GCNT2",0.796689895470383,4.65323284916657e-10,3.49159980070063e-07
"STX7",0.792160278745645,6.84354230515536e-10,4.9376157731696e-07
"IRF4",0.790592334494774,7.80395226320627e-10,5.42201261131431e-07
"ADIPOR2",0.79006968641115,8.1511488157235e-10,5.42754990609417e-07
"MXI1",0.789721254355401,8.3905830415657e-10,5.42754990609417e-07
"CEP295NL",0.786759581881533,1.07083857313549e-09,6.57281471667139e-07
"IRS2",0.786585365853659,1.08618399817055e-09,6.57281471667139e-07
"ABCB5",0.784457234421401,1.29101040194273e-09,7.56814504063864e-07
"LZTS1",0.783449477351917,1.40012054882021e-09,7.95904890161164e-07
"ST3GAL4",0.777351916376307,2.26707471671027e-09,1.25082513561082e-06
"BBS5",0.77595818815331,2.52574944231568e-09,1.35372953681143e-06
"EDNRB",0.774216027874565,2.8878833075165e-09,1.50482786015839e-06
"IGSF3",0.773519163763066,3.04587431912548e-09,1.54425827979662e-06
"SLC3A2",0.772996515679443,3.16962523822318e-09,1.56471052220602e-06
"NLGN1",0.771752690865157,3.48327039105614e-09,1.675453058098e-06
"KIF13A",0.771080139372822,3.66470390998735e-09,1.71865451618632e-06
"FDFT1",0.769163763066202,4.23124895831665e-09,1.93595120022103e-06
"PFKFB2",0.768815331010453,4.34265771525199e-09,1.93961704953362e-06
"STK24",0.767073170731707,4.94196240292372e-09,2.15595983061503e-06
"SPAG9",0.766409687560035,5.18984714857692e-09,2.21264415136715e-06
"ABTB2",0.76602787456446,5.33770763584294e-09,2.22511238979506e-06
"ANXA5",0.763937282229965,6.21946313640393e-09,2.53632410816959e-06
"C8orf46",0.762676436042308,6.81508951505836e-09,2.70136492035054e-06
"MIPEP",0.76219512195122,7.05618002543721e-09,2.70136492035054e-06
"ZNF704",0.76219512195122,7.05618002543721e-09,2.70136492035054e-06
"STAM",0.759407665505227,8.61628990447287e-09,3.23265964636013e-06
"MRPL44",0.758710801393728,9.05371275581606e-09,3.33016858012458e-06
"CPEB2",0.756271777003484,1.07531903449947e-08,3.87921341695682e-06
"OTUD7B",0.755574912891986,1.12907908807815e-08,3.97032548093122e-06
"LONP2",0.755400696864112,1.14290514403905e-08,3.97032548093122e-06
"IFT81",0.750871080139373,1.56288994008255e-08,5.33059134291064e-06
"ALX1",0.748736725079689,1.80709512284763e-08,6.00492939556476e-06
"SOX6",0.748213985918591,1.8720980620567e-08,6.00492939556476e-06
"GPAT4",0.74808362369338,1.88864456707885e-08,6.00492939556476e-06
"MYO5A",0.74808362369338,1.88864456707885e-08,6.00492939556476e-06
"SLC6A8",0.747038327526133,2.02633169076667e-08,6.33532603118201e-06
"MCC",0.745296167247387,2.2767658104264e-08,7.00161472750638e-06
"TRIM63",0.744376917601301,2.42024239946813e-08,7.29150522945998e-06
"NRBP2",0.744076655052265,2.46890203629187e-08,7.29150522945998e-06
"FBXO7",0.743728222996516,2.52650908851697e-08,7.29150522945998e-06
"SORT1",0.743205574912892,2.61527005947591e-08,7.43331076450129e-06
"CAPN3",0.742508710801394,2.73813786491758e-08,7.66637734447595e-06
"TMEM117",0.740766550522648,3.06921263590814e-08,8.29556156498863e-06
"KIAA1211",0.740592334494774,3.10429267155796e-08,8.29556156498863e-06
"FMN1",0.740418118466899,3.13974556806969e-08,8.29556156498863e-06
"ABCC2",0.739547038327526,3.32273213578671e-08,8.65710168544763e-06
"MDGA2",0.738737800114064,3.501573993484e-08,8.99808582791319e-06
"SLC24A5",0.737777847815217,3.7253276083545e-08,9.44370548717866e-06
"SOCS6",0.737108013937282,3.88926066805539e-08,9.72781878294014e-06
"PYURF",0.736062717770035,4.15854403935867e-08,1.02644904782012e-05
"DOCK7",0.733449477351917,4.90950436844248e-08,1.18073580061042e-05
"OSBPL9",0.733449477351917,4.90950436844248e-08,1.18073580061042e-05
"IGSF11",0.731358885017422,5.59908567458872e-08,1.32953478695709e-05
"TEX2",0.730836236933798,5.78502222914232e-08,1.35651539995601e-05
"VPS25",0.730313588850174,5.97668575629887e-08,1.38415614941248e-05
"SLC18B1",0.727177700348432,7.25632132620383e-08,1.61865568837001e-05
"SGCD",0.727003484320558,7.33438528234183e-08,1.61865568837001e-05
"BEST1",0.726132404181185,7.73654655981593e-08,1.66815950477686e-05
"NUFIP1",0.724912891986063,8.33407332972819e-08,1.7556031112573e-05
"PCYT2",0.724912891986063,8.33407332972819e-08,1.7556031112573e-05
"USP27X",0.724738675958188,8.42285196509182e-08,1.7556031112573e-05
"KAT7",0.722996515679443,9.36026440099686e-08,1.92955164723407e-05
"DIP2B",0.721777003484321,1.00731389840334e-07,2.05393493697264e-05
"ZNF526",0.721254355400697,1.03938244149349e-07,2.09653496988993e-05
"TBC1D14",0.720557491289199,1.08361633240534e-07,2.16250625314806e-05
