"gene","spearman_rho","p_value","fdr"
"PRKD1",-0.812369337979094,1.13188175557163e-10,1.26386725314097e-08
"ADGRA3",-0.805052264808363,2.22420246277414e-10,2.19599021048316e-08
"GULP1",-0.794425087108014,5.64985320131732e-10,4.54873803448547e-08
"PKNOX2",-0.779094076655052,1.97850605040153e-09,1.24546291944571e-07
"XPO7",-0.778919860627178,2.00573744011234e-09,1.2550841532572e-07
"ETNK2",-0.772648083623694,3.25471726115623e-09,1.84456921758398e-07
"SOX10",-0.772299651567944,3.34193862861049e-09,1.87698882437437e-07
"CAMSAP2",-0.767247386759582,4.8787299571236e-09,2.61485986473376e-07
"TNKS",-0.765331010452962,5.61775835400769e-09,2.97693584640763e-07
"ZSCAN20",-0.757491289198606,9.86939876364515e-09,4.8849617785546e-07
"ZFYVE9",-0.755749128919861,1.11540907282034e-08,5.37890971646191e-07
"GID4",-0.754529616724739,1.21443425056482e-08,5.80397719247927e-07
"DKC1",-0.747735191637631,1.93354108708979e-08,8.7400716271608e-07
"FZD3",-0.744947735191638,2.33019045169225e-08,1.02610428834026e-06
"ZNF2",-0.742682926829269,2.70692701168237e-08,1.16733893821034e-06
"ACVR2B",-0.739547038327526,3.32273213578671e-08,1.38513626967162e-06
"PMS2",-0.737456445993032,3.803167067439e-08,1.56799145094699e-06
"ST3GAL4",-0.737282229965157,3.84598975298502e-08,1.58216933719838e-06
"SCFD2",-0.736759581881533,3.97716453720327e-08,1.6325520690021e-06
"REEP6",-0.73623693379791,4.11249151102328e-08,1.67345397516889e-06
"GTF2IRD1",-0.73588850174216,4.20507590602245e-08,1.7000650629542e-06
"FGD1",-0.732404181184669,5.24376462819635e-08,2.07526963418429e-06
"TARS2",-0.731184668989547,5.66043804531957e-08,2.21678825244571e-06
"POLR2B",-0.729268292682927,6.37784714953899e-08,2.46177026086835e-06
"EXOC6B",-0.728571428571429,6.65904117317513e-08,2.5441334698084e-06
"ZNF507",-0.724912891986063,8.33407332972819e-08,3.13933497173436e-06
"ZNF526",-0.724912891986063,8.33407332972819e-08,3.13933497173436e-06
"TTC30A",-0.721254355400697,1.03938244149349e-07,3.7640492702657e-06
"DOCK7",-0.720383275261324,1.09494467688604e-07,3.92735510395894e-06
"TTC30B",-0.719686411149826,1.1413667288119e-07,4.06278908269116e-06
"POMK",-0.719512195121951,1.15325437411101e-07,4.09732931892963e-06
"PPP1R26",-0.718641114982579,1.21443614923418e-07,4.23449957685577e-06
"BEND3",-0.716550522648084,1.37377804035122e-07,4.72856922182542e-06
"SGCD",-0.715505226480836,1.46053069921001e-07,4.96342307726096e-06
"KDM4D",-0.715275056212258,1.48030395853416e-07,5.02152295807276e-06
"OCRL",-0.715156794425087,1.49055981894017e-07,5.02903087113287e-06
"DIEXF",-0.711324041811847,1.860920889417e-07,6.11366286594982e-06
"TIGD5",-0.70993031358885,2.01555328928721e-07,6.56419516557965e-06
"FDFT1",-0.708536585365854,2.1820304708909e-07,6.99704437665681e-06
"POLA1",-0.707839721254356,2.26996788726602e-07,7.20513157313422e-06
"ERLIN2",-0.705923344947735,2.52902632801712e-07,7.85463657074058e-06
"NLGN1",-0.704621017574808,2.72043402155728e-07,8.31150192351677e-06
"ZKSCAN2",-0.704006968641115,2.8152639754715e-07,8.57330144738148e-06
"SOCS7",-0.703832752613241,2.84272137172218e-07,8.6428865821939e-06
"ZNF343",-0.703135888501742,2.95505133871907e-07,8.92653914058472e-06
"NR2F6",-0.701946949574762,3.15624191241469e-07,9.41397780031062e-06
"FIP1L1",-0.701742160278746,3.19215118003455e-07,9.43016755689262e-06
"ABCD3",-0.698606271777004,3.79149431135594e-07,1.09929894569901e-05
"OSBPL1A",-0.698432055749129,3.82766744455277e-07,1.10636692746326e-05
"MAGI2",-0.698257839721255,3.86415993490662e-07,1.11348350566687e-05
"KIAA1211",-0.697038327526133,4.12876892275998e-07,1.17528947226183e-05
"AGAP1",-0.695296167247387,4.53597382975826e-07,1.27571713751777e-05
"CBX2",-0.694947735191638,4.62174932824323e-07,1.29402083057485e-05
"ZNF696",-0.694947735191638,4.62174932824323e-07,1.29402083057485e-05
"PIGM",-0.694425087108014,4.75323114095667e-07,1.32687296091081e-05
"POMT2",-0.69390243902439,4.88816760586994e-07,1.35446286733404e-05
"CCDC140",-0.693594837084964,4.96923214492946e-07,1.37286930495923e-05
"SLC10A5",-0.692713097917413,5.20854947075246e-07,1.42846753686909e-05
"ARHGAP39",-0.692334494773519,5.31454441349266e-07,1.45117232391134e-05
"CBX8",-0.691637630662021,5.51487558771272e-07,1.49715703545445e-05
