"gene","spearman_rho","p_value","fdr"
"IL15RA",0.908885017421603,2.13854259013951e-16,4.0116920448427e-12
"PIK3AP1",0.897909407665505,1.77612587369678e-15,1.2209908779364e-11
"PLEK",0.897386759581882,1.95264813359411e-15,1.2209908779364e-11
"TMEM176B",0.887630662020906,1.04857039863976e-14,4.91753302702083e-11
"MNDA",0.882229965156795,2.49097588499344e-14,7.24220873698138e-11
"CTSC",0.88205574912892,2.55967404487105e-14,7.24220873698138e-11
"DAPP1",0.881707317073171,2.70246074731434e-14,7.24220873698138e-11
"PTPN6",0.880836236933798,3.09296270907336e-14,7.25261093243841e-11
"TNFAIP8",0.879268292682927,3.93316818533755e-14,7.77945394942784e-11
"CD53",0.878919860627178,4.14705152163113e-14,7.77945394942784e-11
"NCF4",0.876132404181185,6.29817762266375e-14,1.00732584399637e-10
"CCL3",0.875783972125436,6.6312089047451e-14,1.00732584399637e-10
"HCK",0.875435540069687,6.9807750796699e-14,1.00732584399637e-10
"TMEM176A",0.874390243902439,8.13652454958859e-14,1.09023617161237e-10
"CD300LF",0.873693379790941,9.00467813329299e-14,1.12612504734962e-10
"CD52",0.872473867595819,1.0737384633263e-13,1.25889123959613e-10
"SRGN",0.871777003484321,1.18637779006323e-13,1.30913299787036e-10
"ST8SIA4",0.871080139372822,1.31007578115882e-13,1.32581197628401e-10
"LCP1",0.870905923344948,1.34284490374733e-13,1.32581197628401e-10
"SASH3",0.870034843205575,1.51859383476321e-13,1.42436508731615e-10
"CYBB",0.868641114982579,1.84550228130185e-13,1.64856082356864e-10
"PTPRC",0.866550522648084,2.46226915389405e-13,2.09953213899539e-10
"SLC7A7",0.864982578397213,3.04703892795308e-13,2.43830290861657e-10
"GZMB",0.864808362369338,3.11953034846195e-13,2.43830290861657e-10
"RBM47",0.863414634146342,3.76074174862062e-13,2.76324720931086e-10
"PTPN22",0.86327801815412,3.82986446196931e-13,2.76324720931086e-10
"LAPTM5",0.862891986062718,4.03170112762995e-13,2.8011363501189e-10
"ITGB2",0.861274446568091,4.99138285929831e-13,3.257851572825e-10
"LYZ",0.860975609756098,5.19069657752223e-13,3.257851572825e-10
"SERPINA1",0.860627177700349,5.43253971457128e-13,3.257851572825e-10
"CXorf21",0.860452961672474,5.5573991327043e-13,3.257851572825e-10
"LST1",0.860452961672474,5.5573991327043e-13,3.257851572825e-10
"HK3",0.859706434022503,6.12364247999359e-13,3.4810124024909e-10
"TNFAIP8L2",0.858573980517356,7.08717018602928e-13,3.90312535666197e-10
"SNX20",0.858362369337979,7.28233847663357e-13,3.90312535666197e-10
"CSF2RB",0.857665505226481,7.96139763815616e-13,4.14855161928254e-10
"TAGAP",0.857317073170732,8.32284746924158e-13,4.19249703657305e-10
"RGL4",0.857158211220868,8.49271748972632e-13,4.19249703657305e-10
"DOK2",0.856794425087108,8.89407531017573e-13,4.27805022419452e-10
"FAM107B",0.856445993031359,9.29516342023169e-13,4.35919926500316e-10
"IL32",0.855574912891986,1.03735834409609e-12,4.74629394558501e-10
"HCST",0.855052264808363,1.10760023403695e-12,4.9383786262032e-10
"CD247",0.854878048780488,1.13199147570093e-12,4.9383786262032e-10
"BIN2",0.853135888501742,1.40531788188583e-12,5.85501546486517e-10
"CD48",0.853135888501742,1.40531788188583e-12,5.85501546486517e-10
"RFTN1",0.852787456445993,1.46695307238479e-12,5.85501546486517e-10
"STK17B",0.852787456445993,1.46695307238479e-12,5.85501546486517e-10
"SIT1",0.8516050358703,1.69559995907192e-12,6.52081024892019e-10
"CD3D",0.851567944250871,1.70328750038429e-12,6.52081024892019e-10
"AIF1",0.851219512195122,1.77712014599884e-12,6.66739936375844e-10
"PARP12",0.850871080139373,1.85395391073444e-12,6.81927870813085e-10
"C10orf128",0.850696864111498,1.89353163355566e-12,6.83091536805203e-10
"PTPN7",0.850348432055749,1.97508177896512e-12,6.99067152671824e-10
"NCF2",0.849825783972126,2.10362051057441e-12,7.17487584688462e-10
"NCKAP1L",0.849825783972126,2.10362051057441e-12,7.17487584688462e-10
"LY75",0.849128919860627,2.28726701406294e-12,7.66193605657262e-10
"CD300A",0.847386759581882,2.81448853254182e-12,9.26262989157052e-10
"RAC2",0.845818815331011,3.38473243275425e-12,1.09472751217305e-09
"CD180",0.843554006968641,4.4026073044482e-12,1.37550836750581e-09
"LCK",0.843554006968641,4.4026073044482e-12,1.37550836750581e-09
"GATA3",0.843416525910009,4.47284025896125e-12,1.37550836750581e-09
"SAMSN1",0.843205574912892,4.58265572833001e-12,1.37650812292564e-09
"SLAMF8",0.843031358885018,4.67525268378621e-12,1.37650812292564e-09
"FCN1",0.842980966869568,4.70236238343308e-12,1.37650812292564e-09
"LILRB4",0.842857142857143,4.76960541554276e-12,1.37650812292564e-09
"TYMP",0.841463414634147,5.59147502137545e-12,1.58924969584821e-09
"GIMAP4",0.841289198606272,5.70309165665220e-12,1.59678054309162e-09
"GIMAP6",0.840940766550523,5.93263328215874e-12,1.636621584412e-09
"NFAM1",0.840592334494774,6.17083274855075e-12,1.65888360727511e-09
"CD3G",0.840564571045943,6.1901941739569e-12,1.65888360727511e-09
"PDCD1LG2",0.840418118466899,6.29327394336439e-12,1.66275388596581e-09
"IL2RG",0.84006968641115,6.54503419495566e-12,1.70525411754407e-09
"ALOX5",0.839721254355401,6.80623223640828e-12,1.74901521264086e-09
"MYO1G",0.839024390243903,7.35827187124319e-12,1.86532191936015e-09
"GIMAP7",0.838501742160279,7.79960782138989e-12,1.95083790828604e-09
"RASAL3",0.83815331010453,8.10751528340129e-12,1.98283997486071e-09
"TNFRSF18",0.838118433582511,8.13895613115171e-12,1.98283997486071e-09
"TMSB4X",0.837979094076655,8.26571563880458e-12,1.9879046111325e-09
