"gene","spearman_rho","p_value","fdr"
"TOMM22",-0.758885017421603,8.94245668410402e-09,2.46057828466321e-05
"ATP5S",-0.743031358885018,2.64549634895145e-08,4.51153327363456e-05
"KLF15",-0.731184668989547,5.66043804531957e-08,6.22870267235614e-05
"ZNF131",-0.724738675958188,8.42285196509182e-08,6.79582868802268e-05
"ZNF555",-0.724216027874565,8.69448736673299e-08,6.79582868802268e-05
"SUCLG1",-0.721080139372822,1.05028090560108e-07,7.03650696720383e-05
"ZNF517",-0.720414652889462,1.09289627135154e-07,7.06953143251158e-05
"LIAS",-0.718118466898955,1.25257756616568e-07,7.35031972307014e-05
"ZNF34",-0.71794425087108,1.26553647611655e-07,7.35031972307014e-05
"ZNF383",-0.717770034843206,1.27861974595983e-07,7.35031972307014e-05
"TMEM232",-0.712641944773135,1.72489240194551e-07,8.217610224938e-05
"ZNF823",-0.712369337979094,1.75224910175127e-07,8.217610224938e-05
"DRG1",-0.709581881533101,2.05603062413749e-07,9.18311392337979e-05
"XPNPEP3",-0.707665505226481,2.29245981791998e-07,9.89826977688378e-05
"TCEANC2",-0.706445993031359,2.45578276445141e-07,9.89826977688378e-05
"EIF4ENIF1",-0.704878048780488,2.68162575588902e-07,0.000103590385681719
"FAR2",-0.704703832752613,2.70787357180336e-07,0.000103590385681719
"ZNF684",-0.703832752613241,2.84272137172218e-07,0.000104561980808111
"IFT81",-0.702787456445993,3.01274570570919e-07,0.000108684801333459
"GOLGA7",-0.697038327526133,4.12876892275998e-07,0.000130948103799387
"ZNF572",-0.696864111498258,4.16791094291632e-07,0.000130948103799387
"PYURF",-0.696689895470383,4.20739627921961e-07,0.000130948103799387
"SIRT5",-0.696515679442509,4.24722769189191e-07,0.000130948103799387
"ZNF81",-0.695121951219512,4.57867565987325e-07,0.000135467805700804
"FEM1B",-0.694425087108014,4.75323114095667e-07,0.000137178250728009
"ZNF564",-0.693728222996516,4.9339284298033e-07,0.000140235702143455
"KLHDC1",-0.693205574912892,5.07360058916556e-07,0.000141722551898401
"DNAJC27",-0.692857142857143,5.16873847490793e-07,0.000141722551898401
"CDPF1",-0.692508710801394,5.26552486942462e-07,0.000141722551898401
"NOA1",-0.692334494773519,5.31454441349266e-07,0.000141722551898401
"TOP3B",-0.690592334494774,5.82850453911145e-07,0.000149776598149578
"SPRYD4",-0.689024390243903,6.32999823498323e-07,0.000158325915853401
"USP30",-0.686411149825784,7.25534201124403e-07,0.000176757091933671
"ANKRA2",-0.684843205574913,7.86900972796658e-07,0.000182240436403611
"ZNF615",-0.684146341463415,8.15685908973561e-07,0.000186603072761403
"LRIG2",-0.678397212543554,1.09307002089785e-06,0.000227832228022475
"RPAP2",-0.676829268292683,1.18258258797612e-06,0.000241131160520043
