"GeneSet","gene"
"Immune_defective_Cold_RESTORE_curated","B2M"
"Immune_defective_Cold_RESTORE_curated","HLA-A"
"Immune_defective_Cold_RESTORE_curated","HLA-B"
"Immune_defective_Cold_RESTORE_curated","HLA-C"
"Immune_defective_Cold_RESTORE_curated","HLA-E"
"Immune_defective_Cold_RESTORE_curated","TAP1"
"Immune_defective_Cold_RESTORE_curated","TAP2"
"Immune_defective_Cold_RESTORE_curated","NLRC5"
"Immune_defective_Cold_RESTORE_curated","PSMB8"
"Immune_defective_Cold_RESTORE_curated","PSMB9"
"Immune_defective_Cold_RESTORE_curated","IFNG"
"Immune_defective_Cold_RESTORE_curated","STAT1"
"Immune_defective_Cold_RESTORE_curated","IRF1"
"Immune_defective_Cold_RESTORE_curated","CXCL9"
"Immune_defective_Cold_RESTORE_curated","CXCL10"
"Immune_defective_Cold_RESTORE_curated","GBP1"
"Immune_defective_Cold_RESTORE_curated","GBP2"
"Immune_defective_Cold_RESTORE_curated","IDO1"
"Immune_defective_Cold_RESTORE_curated","IFIT1"
"Immune_defective_Cold_RESTORE_curated","IFIT2"
"Immune_defective_Cold_RESTORE_curated","IFIT3"
"Immune_defective_Cold_RESTORE_curated","CD8A"
"Immune_defective_Cold_RESTORE_curated","CD8B"
"Immune_defective_Cold_RESTORE_curated","GZMB"
"Immune_defective_Cold_RESTORE_curated","PRF1"
"Immune_defective_Cold_RESTORE_curated","NKG7"
"Immune_defective_Cold_RESTORE_curated","GNLY"
"Immune_defective_Cold_RESTORE_curated","CCL5"
"Immune_defective_Cold_RESTORE_curated","GZMA"
"Immune_defective_Cold_RESTORE_curated","GZMK"
"Immune_defective_Cold_RESTORE_curated","CD3D"
"Immune_defective_Cold_RESTORE_curated","CD3E"
"Immune_defective_Cold_RESTORE_curated","CD3G"
"Immune_defective_Cold_RESTORE_curated","LCK"
"Immune_defective_Cold_RESTORE_curated","PDCD1"
"Immune_defective_Cold_RESTORE_curated","LAG3"
"Immune_defective_Cold_RESTORE_curated","TIGIT"
"Immune_defective_Cold_RESTORE_data_driven","GBP5"
"Immune_defective_Cold_RESTORE_data_driven","IL2RB"
"Immune_defective_Cold_RESTORE_data_driven","NLRC5"
"Immune_defective_Cold_RESTORE_data_driven","APOL3"
"Immune_defective_Cold_RESTORE_data_driven","LAG3"
"Immune_defective_Cold_RESTORE_data_driven","PTPN7"
"Immune_defective_Cold_RESTORE_data_driven","IRF1"
"Immune_defective_Cold_RESTORE_data_driven","CD2"
"Immune_defective_Cold_RESTORE_data_driven","CCR5"
"Immune_defective_Cold_RESTORE_data_driven","SIRPG"
"Immune_defective_Cold_RESTORE_data_driven","CCL5"
"Immune_defective_Cold_RESTORE_data_driven","NKG7"
"Immune_defective_Cold_RESTORE_data_driven","PSMB9"
"Immune_defective_Cold_RESTORE_data_driven","CXCL9"
"Immune_defective_Cold_RESTORE_data_driven","CCL4"
"Immune_defective_Cold_RESTORE_data_driven","CD8B"
"Immune_defective_Cold_RESTORE_data_driven","CD8A"
"Immune_defective_Cold_RESTORE_data_driven","IL32"
"Immune_defective_Cold_RESTORE_data_driven","LCK"
"Immune_defective_Cold_RESTORE_data_driven","SNX20"
"Immune_defective_Cold_RESTORE_data_driven","GBP1"
"Immune_defective_Cold_RESTORE_data_driven","CD3G"
"Immune_defective_Cold_RESTORE_data_driven","SLA2"
"Immune_defective_Cold_RESTORE_data_driven","FASLG"
"Immune_defective_Cold_RESTORE_data_driven","HCST"
"Immune_defective_Cold_RESTORE_data_driven","SLFN12L"
"Immune_defective_Cold_RESTORE_data_driven","UBASH3A"
"Immune_defective_Cold_RESTORE_data_driven","IL2RG"
"Immune_defective_Cold_RESTORE_data_driven","CD27"
"Immune_defective_Cold_RESTORE_data_driven","TAGAP"
"Immune_defective_Cold_RESTORE_data_driven","NCKAP1L"
"Immune_defective_Cold_RESTORE_data_driven","ITGAL"
"Immune_defective_Cold_RESTORE_data_driven","KLRK1"
"Immune_defective_Cold_RESTORE_data_driven","SEPT1"
"Immune_defective_Cold_RESTORE_data_driven","SLAMF6"
"Immune_defective_Cold_RESTORE_data_driven","SIT1"
"Immune_defective_Cold_RESTORE_data_driven","CD38"
"Immune_defective_Cold_RESTORE_data_driven","C16orf54"
"Immune_defective_Cold_RESTORE_data_driven","IL21R"
"Immune_defective_Cold_RESTORE_data_driven","PDCD1"
"Immune_defective_Cold_RESTORE_data_driven","RASAL3"
"Immune_defective_Cold_RESTORE_data_driven","SECTM1"
"Immune_defective_Cold_RESTORE_data_driven","KLHDC7B"
"Immune_defective_Cold_RESTORE_data_driven","CD3E"
"Immune_defective_Cold_RESTORE_data_driven","CD247"
"Immune_defective_Cold_RESTORE_data_driven","PRF1"
"Immune_defective_Cold_RESTORE_data_driven","CXCR6"
"Immune_defective_Cold_RESTORE_data_driven","C1QB"
"Immune_defective_Cold_RESTORE_data_driven","SASH3"
"Immune_defective_Cold_RESTORE_data_driven","TIGIT"
"Immune_defective_Cold_RESTORE_data_driven","PTPN6"
"Immune_defective_Cold_RESTORE_data_driven","SP140"
"Immune_defective_Cold_RESTORE_data_driven","VAV1"
"Immune_defective_Cold_RESTORE_data_driven","RARRES3"
"Immune_defective_Cold_RESTORE_data_driven","CD3D"
"Immune_defective_Cold_RESTORE_data_driven","SCIMP"
"Immune_defective_Cold_RESTORE_data_driven","CD6"
"Immune_defective_Cold_RESTORE_data_driven","APBB1IP"
"Immune_defective_Cold_RESTORE_data_driven","NCF1"
"Immune_defective_Cold_RESTORE_data_driven","IKZF3"
"Immune_defective_Cold_RESTORE_data_driven","TBX21"
"Immune_defective_Cold_RESTORE_data_driven","CD74"
"Immune_defective_Cold_RESTORE_data_driven","PLEK"
"Immune_defective_Cold_RESTORE_data_driven","IL12RB1"
"Immune_defective_Cold_RESTORE_data_driven","IL10RA"
"Immune_defective_Cold_RESTORE_data_driven","INPP5D"
"Immune_defective_Cold_RESTORE_data_driven","UBE2L6"
"Immune_defective_Cold_RESTORE_data_driven","GZMK"
"Immune_defective_Cold_RESTORE_data_driven","CD72"
"Immune_defective_Cold_RESTORE_data_driven","TYMP"
"Immune_defective_Cold_RESTORE_data_driven","EPSTI1"
"Immune_defective_Cold_RESTORE_data_driven","SERPINA1"
"Immune_defective_Cold_RESTORE_data_driven","LCP1"
"Immune_defective_Cold_RESTORE_data_driven","HLA-DRA"
"Immune_defective_Cold_RESTORE_data_driven","HLA-DMB"
"Immune_defective_Cold_RESTORE_data_driven","CD53"
"Immune_defective_Cold_RESTORE_data_driven","SAMD3"
"Immune_defective_Cold_RESTORE_data_driven","GZMH"
"Immune_defective_Cold_RESTORE_data_driven","GZMB"
"Immune_defective_Cold_RESTORE_data_driven","HLA-DQA1"
"Immune_defective_Cold_RESTORE_data_driven","ZBP1"
"Immune_defective_Cold_RESTORE_data_driven","CTSW"
"Immune_defective_Cold_RESTORE_data_driven","P2RY10"
"Immune_defective_Cold_RESTORE_data_driven","CTSS"
"Immune_defective_Cold_RESTORE_data_driven","JAKMIP1"
"Immune_defective_Cold_RESTORE_data_driven","NLRC3"
"Immune_defective_Cold_RESTORE_data_driven","PSMB10"
"Immune_defective_Cold_RESTORE_data_driven","AOAH"
"Immune_defective_Cold_RESTORE_data_driven","PTPRC"
"Immune_defective_Cold_RESTORE_data_driven","RHOH"
"Immune_defective_Cold_RESTORE_data_driven","ARHGAP9"
"Immune_defective_Cold_RESTORE_data_driven","GIMAP6"
"Immune_defective_Cold_RESTORE_data_driven","SLC7A7"
"Immune_defective_Cold_RESTORE_data_driven","BIN2"
"Immune_defective_Cold_RESTORE_data_driven","LILRB4"
"Immune_defective_Cold_RESTORE_data_driven","GBP2"
"Immune_defective_Cold_RESTORE_data_driven","HAVCR2"
"Immune_defective_Cold_RESTORE_data_driven","C1QC"
"Immune_defective_Cold_RESTORE_data_driven","GPR174"
"Immune_defective_Cold_RESTORE_data_driven","UBD"
"Immune_defective_Cold_RESTORE_hybrid","B2M"
"Immune_defective_Cold_RESTORE_hybrid","HLA-A"
"Immune_defective_Cold_RESTORE_hybrid","HLA-B"
"Immune_defective_Cold_RESTORE_hybrid","HLA-C"
"Immune_defective_Cold_RESTORE_hybrid","HLA-E"
"Immune_defective_Cold_RESTORE_hybrid","TAP1"
"Immune_defective_Cold_RESTORE_hybrid","TAP2"
"Immune_defective_Cold_RESTORE_hybrid","NLRC5"
"Immune_defective_Cold_RESTORE_hybrid","PSMB8"
"Immune_defective_Cold_RESTORE_hybrid","PSMB9"
"Immune_defective_Cold_RESTORE_hybrid","IFNG"
"Immune_defective_Cold_RESTORE_hybrid","STAT1"
"Immune_defective_Cold_RESTORE_hybrid","IRF1"
"Immune_defective_Cold_RESTORE_hybrid","CXCL9"
"Immune_defective_Cold_RESTORE_hybrid","CXCL10"
"Immune_defective_Cold_RESTORE_hybrid","GBP1"
"Immune_defective_Cold_RESTORE_hybrid","GBP2"
"Immune_defective_Cold_RESTORE_hybrid","IDO1"
"Immune_defective_Cold_RESTORE_hybrid","IFIT1"
"Immune_defective_Cold_RESTORE_hybrid","IFIT2"
"Immune_defective_Cold_RESTORE_hybrid","IFIT3"
"Immune_defective_Cold_RESTORE_hybrid","CD8A"
"Immune_defective_Cold_RESTORE_hybrid","CD8B"
"Immune_defective_Cold_RESTORE_hybrid","GZMB"
"Immune_defective_Cold_RESTORE_hybrid","PRF1"
"Immune_defective_Cold_RESTORE_hybrid","NKG7"
"Immune_defective_Cold_RESTORE_hybrid","GNLY"
"Immune_defective_Cold_RESTORE_hybrid","CCL5"
"Immune_defective_Cold_RESTORE_hybrid","GZMA"
"Immune_defective_Cold_RESTORE_hybrid","GZMK"
"Immune_defective_Cold_RESTORE_hybrid","CD3D"
"Immune_defective_Cold_RESTORE_hybrid","CD3E"
"Immune_defective_Cold_RESTORE_hybrid","CD3G"
"Immune_defective_Cold_RESTORE_hybrid","LCK"
"Immune_defective_Cold_RESTORE_hybrid","PDCD1"
"Immune_defective_Cold_RESTORE_hybrid","LAG3"
"Immune_defective_Cold_RESTORE_hybrid","TIGIT"
"Immune_defective_Cold_RESTORE_hybrid","GBP5"
"Immune_defective_Cold_RESTORE_hybrid","IL2RB"
"Immune_defective_Cold_RESTORE_hybrid","APOL3"
"Immune_defective_Cold_RESTORE_hybrid","PTPN7"
"Immune_defective_Cold_RESTORE_hybrid","CD2"
"Immune_defective_Cold_RESTORE_hybrid","CCR5"
"Immune_defective_Cold_RESTORE_hybrid","SIRPG"
"Immune_defective_Cold_RESTORE_hybrid","CCL4"
"Immune_defective_Cold_RESTORE_hybrid","IL32"
"Immune_defective_Cold_RESTORE_hybrid","SNX20"
"Immune_defective_Cold_RESTORE_hybrid","SLA2"
"Immune_defective_Cold_RESTORE_hybrid","FASLG"
"Immune_defective_Cold_RESTORE_hybrid","HCST"
"Immune_defective_Cold_RESTORE_hybrid","SLFN12L"
"Immune_defective_Cold_RESTORE_hybrid","UBASH3A"
"Immune_defective_Cold_RESTORE_hybrid","IL2RG"
"Immune_defective_Cold_RESTORE_hybrid","CD27"
"Immune_defective_Cold_RESTORE_hybrid","TAGAP"
"Immune_defective_Cold_RESTORE_hybrid","NCKAP1L"
"Immune_defective_Cold_RESTORE_hybrid","ITGAL"
"Immune_defective_Cold_RESTORE_hybrid","KLRK1"
"Immune_defective_Cold_RESTORE_hybrid","SEPT1"
"Immune_defective_Cold_RESTORE_hybrid","SLAMF6"
"Immune_defective_Cold_RESTORE_hybrid","SIT1"
"Immune_defective_Cold_RESTORE_hybrid","CD38"
"Immune_defective_Cold_RESTORE_hybrid","C16orf54"
"Immune_defective_Cold_RESTORE_hybrid","IL21R"
"Immune_defective_Cold_RESTORE_hybrid","RASAL3"
"Immune_defective_Cold_RESTORE_hybrid","SECTM1"
"Immune_defective_Cold_RESTORE_hybrid","KLHDC7B"
"Immune_defective_Cold_RESTORE_hybrid","CD247"
"Immune_defective_Cold_RESTORE_hybrid","CXCR6"
"Immune_defective_Cold_RESTORE_hybrid","C1QB"
"Immune_defective_Cold_RESTORE_hybrid","SASH3"
"Immune_defective_Cold_RESTORE_hybrid","PTPN6"
"Immune_defective_Cold_RESTORE_hybrid","SP140"
"Immune_defective_Cold_RESTORE_hybrid","VAV1"
"Immune_defective_Cold_RESTORE_hybrid","RARRES3"
"Immune_defective_Cold_RESTORE_hybrid","SCIMP"
"Immune_defective_Cold_RESTORE_hybrid","CD6"
"Immune_defective_Cold_RESTORE_hybrid","APBB1IP"
"Immune_defective_Cold_RESTORE_hybrid","NCF1"
"Immune_defective_Cold_RESTORE_hybrid","IKZF3"
"Immune_defective_Cold_RESTORE_hybrid","TBX21"
"Immune_defective_Cold_RESTORE_hybrid","CD74"
"Immune_defective_Cold_RESTORE_hybrid","PLEK"
"Immune_defective_Cold_RESTORE_hybrid","IL12RB1"
"Immune_defective_Cold_RESTORE_hybrid","IL10RA"
"Immune_defective_Cold_RESTORE_hybrid","INPP5D"
"Immune_defective_Cold_RESTORE_hybrid","UBE2L6"
"Immune_defective_Cold_RESTORE_hybrid","CD72"
"Immune_defective_Cold_RESTORE_hybrid","TYMP"
"Immune_defective_Cold_RESTORE_hybrid","EPSTI1"
"Immune_defective_Cold_RESTORE_hybrid","SERPINA1"
"Immune_defective_Cold_RESTORE_hybrid","LCP1"
"Immune_defective_Cold_RESTORE_hybrid","HLA-DRA"
"Immune_defective_Cold_RESTORE_hybrid","HLA-DMB"
"Immune_defective_Cold_RESTORE_hybrid","CD53"
"Immune_defective_Cold_RESTORE_hybrid","SAMD3"
"Immune_defective_Cold_RESTORE_hybrid","GZMH"
"Immune_defective_Cold_RESTORE_hybrid","HLA-DQA1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","IL15RA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","PIK3AP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","PLEK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","TMEM176B"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","MNDA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CTSC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","PTPN6"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CD53"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","LST1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","LYZ"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","TYROBP"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","FCER1G"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","AIF1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CD14"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","FCGR3A"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CD68"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","C1QA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","C1QB"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","C1QC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","S100A8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","S100A9"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","IL1B"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CXCL8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","TREM1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","SPP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","LILRB2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","FOXP3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","IL2RA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CTLA4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","TIGIT"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","ENTPD1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","IKZF2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","CCR8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated","TNFRSF18"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","IL15RA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","PIK3AP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","PLEK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","TMEM176B"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","MNDA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CTSC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","DAPP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","PTPN6"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","TNFAIP8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CD53"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","NCF4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CCL3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","HCK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","TMEM176A"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CD300LF"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CD52"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","SRGN"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","ST8SIA4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","LCP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","SASH3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CYBB"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","PTPRC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","SLC7A7"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","GZMB"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","RBM47"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","PTPN22"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","LAPTM5"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","ITGB2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","LYZ"
