"GeneSet","n_genes","txt_file"
"Immune_defective_Cold_RESTORE_curated",37,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Immune_defective_Cold_RESTORE_curated.txt"
"Immune_defective_Cold_RESTORE_data_driven",100,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Immune_defective_Cold_RESTORE_data_driven.txt"
"Immune_defective_Cold_RESTORE_hybrid",98,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Immune_defective_Cold_RESTORE_hybrid.txt"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_curated",34,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Myeloid_Treg_Immunosuppressive_SUPPRESS_curated.txt"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven",100,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven.txt"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid",73,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid.txt"
"Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_curated",40,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_curated.txt"
"Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_data_driven",100,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_data_driven.txt"
"Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_hybrid",81,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Tumor_dedifferentiation_Stromal_remodeling_SUPPRESS_hybrid.txt"
"Melanocytic_Differentiation_REFERENCE_curated",8,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Melanocytic_Differentiation_REFERENCE_curated.txt"
"Melanocytic_Differentiation_REFERENCE_data_driven",100,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Melanocytic_Differentiation_REFERENCE_data_driven.txt"
"Melanocytic_Differentiation_REFERENCE_hybrid",32,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Melanocytic_Differentiation_REFERENCE_hybrid.txt"
"Dedifferentiated_inflammatory_REFERENCE",96,"D:/ICB_resistance_project/results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/Dedifferentiated_inflammatory_REFERENCE.txt"
