Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Dataset,Type,Path,Group
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.6737563413571458,2.208018023986537,0.0,0.0,0.0,39/65,14.74%,SPP1;LILRB2;CCR8;ENTPD1;TNFAIP8L2;SERPINA1;LYZ;HCK;CCL3;DAPP1;IL1B;S100A9;CD14;IL32;S100A8;IL2RA;CXCL8;RFTN1;LCP1;GZMB;TNFAIP8;TMEM176B;PLEK;TAGAP;IL15RA;PIK3AP1;PTPRC;FCER1G;ITGB2;FAM107B;AIF1;SRGN;CD3D;FCGR3A;IKZF2;RBM47;CSF2RB;LAPTM5;DOK2,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationControl/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,-0.43656015889533606,-1.3498196137320184,0.07109004739336493,0.07109004739336493,0.07109004739336493,10/62,3.48%,SPP1;LYZ;C1QC;C1QB;HCK;CD14;HK3;TMEM176B;CSF2RB;CYBB,GSE157893_HCC_anti-PD-1+IL-15_CD8+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationControl/GSE157893_HCC_anti-PD-1+IL-15_CD8+T-Cells.png,Combination vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.7144055436569818,2.1158889805934886,0.0,0.0,0.0,34/63,13.14%,SPP1;LILRB2;HCK;TNFAIP8L2;ENTPD1;CCL3;LYZ;IL1B;TMEM176B;CCR8;CXCL8;IL32;CD14;DAPP1;S100A9;TMEM176A;AIF1;GZMB;RFTN1;TNFAIP8;FCER1G;PLEK;PIK3AP1;LST1;IL15RA;SRGN;IL2RA;TAGAP;LCP1;RBM47;FCGR3A;LAPTM5;CSF2RB;CD3D,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationControl/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.4797332077910374,1.452352481767269,0.03795811518324607,0.03795811518324607,0.029,30/65,19.51%,ENTPD1;LILRB2;TNFAIP8L2;CCR8;DAPP1;S100A9;CCL3;CD14;HCK;LYZ;IL1B;RFTN1;CSF2RB;PIK3AP1;RBM47;PLEK;LAPTM5;IL2RA;IL32;TAGAP;SERPINA1;TNFAIP8;AIF1;PTPRC;LCP1;TMEM176B;CXCL8;SNX20;FAM107B;IKZF2,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationICB/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. ICB
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.6679170374779996,1.9787325123848083,0.0,0.0,0.0,33/63,15.69%,HCK;TNFAIP8L2;ENTPD1;LYZ;CD14;IL1B;TMEM176B;LILRB2;CCL3;TMEM176A;IL32;DAPP1;RFTN1;FCER1G;AIF1;PIK3AP1;RBM47;TNFRSF18;SPP1;CXCL8;CSF2RB;IL15RA;PLEK;TAGAP;SNX20;TNFAIP8;LST1;LAPTM5;LCP1;FAM107B;S100A9;IL2RA;SRGN,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationICB/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. ICB
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.2836148027322744,0.9569026671805924,0.6011904761904762,0.6011904761904762,0.101,34/65,21.04%,HCK;SERPINA1;TMEM176B;TNFRSF18;IL1B;IL2RA;CCR8;CCL3;LCP1;RFTN1;FCER1G;DAPP1;GZMB;TIGIT;DOK2;FOXP3;ITGB2;IL15RA;IKZF2;TAGAP;PTPRC;PTPN22;ENTPD1;IL32;CD247;TNFAIP8L2;CTSC;PTPN6;TYROBP;SIT1;SNX20;PLEK;CD3D;RGL4,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationDrug/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,Combination vs. Drug
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.35595989940026057,1.104140260368245,0.29754601226993865,0.29754601226993865,0.194,24/64,25.62%,HCK;TMEM176B;TNFRSF18;IL1B;CCL3;HCST;FCER1G;CD300LF;AIF1;GZMB;LST1;RGL4;IL32;CXCL8;SLC7A7;MNDA;SRGN;TYROBP;TNFAIP8L2;DOK2;CD52;NCF4;IL15RA;SERPINA1,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/CombinationDrug/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,Combination vs. Drug
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.6141579651469059,2.4056975168990866,0.0,0.0,0.0,37/65,14.87%,SPP1;S100A8;SERPINA1;LYZ;HCK;IL32;TYROBP;CD48;GZMB;CCL3;IL1B;CXCL8;CCR8;IL2RA;CD3D;FCGR3A;HCST;STK17B;TMEM176A;ITGB2;DAPP1;LCP1;TIGIT;FCER1G;SIT1;TMEM176B;FOXP3;IL15RA;TNFAIP8;CTSC;DOK2;SRGN;CD52;CD14;LILRB2;CD53;TNFAIP8L2,GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/ICBControl/GSE148476_CLL_anti-PD-1+Avadomide_CD3+T-Cells.png,ICB vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.5956128632532515,1.8956004829843212,0.0,0.0,0.0,32/62,22.93%,SPP1;CCR8;LILRB2;CXCL8;S100A9;CCL3;CD48;ITGB2;RGL4;TYROBP;DOK2;CD3D;AIF1;FCGR3A;IL1B;TNFAIP8;SRGN;IL32;HCST;CD247;DAPP1;TNFAIP8L2;IL2RA;STK17B;SIT1;CD52;ENTPD1;IKZF2;CTSC;LST1;HCK;PLEK,GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/ICBControl/GSE148476_CLL_anti-PD-L1+Avadomide_CD3+T-Cells.png,ICB vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.7013462202769493,1.6776903869408666,0.004860267314702308,0.004860267314702308,0.004,10/22,13.16%,SPP1;CXCL8;CSF2RB;CD53;BIN2;PTPRC;ST8SIA4;IL15RA;CYBB;RBM47,E-MTAB-11058_UM_anti-PD-1+Entinostat_92-1-Cell-Line,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/DrugControl/E-MTAB-11058_UM_anti-PD-1+Entinostat_92-1-Cell-Line.png,Drug vs. Control
prerank,Myeloid_Treg_SUPPRESS_hybrid,0.5887753391442923,1.4350079147766766,0.04710144927536232,0.04710144927536232,0.039,9/29,9.90%,CYBB;MNDA;CD53;DAPP1;TIGIT;BIN2;CXCL8;PLEK;ST8SIA4,E-MTAB-11058_UM_anti-PD-1+Entinostat_MP41-Cell-Line,Compound,/ICBcomb_image/GSEAimages/Myeloid_Treg_SUPPRESS_hybrid202605031166/Compound/DrugControl/E-MTAB-11058_UM_anti-PD-1+Entinostat_MP41-Cell-Line.png,Drug vs. Control
