"state","gene"
"Immune_defective_Cold","AOAH"
"Immune_defective_Cold","APBB1IP"
"Immune_defective_Cold","APOL3"
"Immune_defective_Cold","ARHGAP9"
"Immune_defective_Cold","B2M"
"Immune_defective_Cold","BIN2"
"Immune_defective_Cold","C16ORF54"
"Immune_defective_Cold","C1QB"
"Immune_defective_Cold","C1QC"
"Immune_defective_Cold","CCL4"
"Immune_defective_Cold","CCL5"
"Immune_defective_Cold","CCR5"
"Immune_defective_Cold","CD2"
"Immune_defective_Cold","CD247"
"Immune_defective_Cold","CD27"
"Immune_defective_Cold","CD38"
"Immune_defective_Cold","CD3D"
"Immune_defective_Cold","CD3E"
"Immune_defective_Cold","CD3G"
"Immune_defective_Cold","CD53"
"Immune_defective_Cold","CD6"
"Immune_defective_Cold","CD72"
"Immune_defective_Cold","CD74"
"Immune_defective_Cold","CD8A"
"Immune_defective_Cold","CD8B"
"Immune_defective_Cold","CTSS"
"Immune_defective_Cold","CTSW"
"Immune_defective_Cold","CXCL10"
"Immune_defective_Cold","CXCL9"
"Immune_defective_Cold","CXCR6"
"Immune_defective_Cold","EPSTI1"
"Immune_defective_Cold","FASLG"
"Immune_defective_Cold","GBP1"
"Immune_defective_Cold","GBP2"
"Immune_defective_Cold","GBP5"
"Immune_defective_Cold","GIMAP6"
"Immune_defective_Cold","GNLY"
"Immune_defective_Cold","GPR174"
"Immune_defective_Cold","GZMA"
"Immune_defective_Cold","GZMB"
"Immune_defective_Cold","GZMH"
"Immune_defective_Cold","GZMK"
"Immune_defective_Cold","HAVCR2"
"Immune_defective_Cold","HCST"
"Immune_defective_Cold","HLA-A"
"Immune_defective_Cold","HLA-B"
"Immune_defective_Cold","HLA-C"
"Immune_defective_Cold","HLA-DMB"
"Immune_defective_Cold","HLA-DQA1"
"Immune_defective_Cold","HLA-DRA"
"Immune_defective_Cold","HLA-E"
"Immune_defective_Cold","IDO1"
"Immune_defective_Cold","IFIT1"
"Immune_defective_Cold","IFIT2"
"Immune_defective_Cold","IFIT3"
"Immune_defective_Cold","IFNG"
"Immune_defective_Cold","IKZF3"
"Immune_defective_Cold","IL10RA"
"Immune_defective_Cold","IL12RB1"
"Immune_defective_Cold","IL21R"
"Immune_defective_Cold","IL2RB"
"Immune_defective_Cold","IL2RG"
"Immune_defective_Cold","IL32"
"Immune_defective_Cold","INPP5D"
"Immune_defective_Cold","IRF1"
"Immune_defective_Cold","ITGAL"
"Immune_defective_Cold","JAKMIP1"
"Immune_defective_Cold","KLHDC7B"
"Immune_defective_Cold","KLRK1"
"Immune_defective_Cold","LAG3"
"Immune_defective_Cold","LCK"
"Immune_defective_Cold","LCP1"
"Immune_defective_Cold","LILRB4"
"Immune_defective_Cold","NCF1"
"Immune_defective_Cold","NCKAP1L"
"Immune_defective_Cold","NKG7"
"Immune_defective_Cold","NLRC3"
"Immune_defective_Cold","NLRC5"
"Immune_defective_Cold","P2RY10"
"Immune_defective_Cold","PDCD1"
"Immune_defective_Cold","PLEK"
"Immune_defective_Cold","PRF1"
"Immune_defective_Cold","PSMB10"
"Immune_defective_Cold","PSMB8"
"Immune_defective_Cold","PSMB9"
"Immune_defective_Cold","PTPN6"
"Immune_defective_Cold","PTPN7"
"Immune_defective_Cold","PTPRC"
"Immune_defective_Cold","RARRES3"
"Immune_defective_Cold","RASAL3"
"Immune_defective_Cold","RHOH"
"Immune_defective_Cold","SAMD3"
"Immune_defective_Cold","SASH3"
"Immune_defective_Cold","SCIMP"
"Immune_defective_Cold","SECTM1"
"Immune_defective_Cold","SEPT1"
"Immune_defective_Cold","SERPINA1"
"Immune_defective_Cold","SIRPG"
"Immune_defective_Cold","SIT1"
"Immune_defective_Cold","SLA2"
"Immune_defective_Cold","SLAMF6"
"Immune_defective_Cold","SLC7A7"
"Immune_defective_Cold","SLFN12L"
"Immune_defective_Cold","SNX20"
"Immune_defective_Cold","SP140"
"Immune_defective_Cold","STAT1"
"Immune_defective_Cold","TAGAP"
"Immune_defective_Cold","TAP1"
"Immune_defective_Cold","TAP2"
"Immune_defective_Cold","TBX21"
"Immune_defective_Cold","TIGIT"
"Immune_defective_Cold","TYMP"
"Immune_defective_Cold","UBASH3A"
"Immune_defective_Cold","UBD"
"Immune_defective_Cold","UBE2L6"
"Immune_defective_Cold","VAV1"
"Immune_defective_Cold","ZBP1"
"Melanocytic_Differentiation","ABCB5"
"Melanocytic_Differentiation","ABCC2"
"Melanocytic_Differentiation","ABTB2"
"Melanocytic_Differentiation","ADGRA3"
"Melanocytic_Differentiation","ADIPOR2"
"Melanocytic_Differentiation","ALX1"
"Melanocytic_Differentiation","ANXA5"
"Melanocytic_Differentiation","BBS5"
"Melanocytic_Differentiation","BEST1"
"Melanocytic_Differentiation","C8ORF46"
"Melanocytic_Differentiation","CA14"
"Melanocytic_Differentiation","CABLES1"
"Melanocytic_Differentiation","CAPN3"
"Melanocytic_Differentiation","CEP295NL"
"Melanocytic_Differentiation","CPEB2"
"Melanocytic_Differentiation","CYP2U1"
"Melanocytic_Differentiation","DCT"
"Melanocytic_Differentiation","DIP2B"
"Melanocytic_Differentiation","DOCK7"
"Melanocytic_Differentiation","EDNRB"
"Melanocytic_Differentiation","FAM69C"
"Melanocytic_Differentiation","FBXO7"
"Melanocytic_Differentiation","FDFT1"
"Melanocytic_Differentiation","FMN1"
"Melanocytic_Differentiation","GCNT2"
"Melanocytic_Differentiation","GPAT4"
"Melanocytic_Differentiation","GTF2F2"
"Melanocytic_Differentiation","IFT81"
"Melanocytic_Differentiation","IGSF11"
"Melanocytic_Differentiation","IGSF3"
"Melanocytic_Differentiation","IL12RB2"
"Melanocytic_Differentiation","ILVBL"
"Melanocytic_Differentiation","IRF4"
"Melanocytic_Differentiation","IRS2"
"Melanocytic_Differentiation","KAT7"
"Melanocytic_Differentiation","KCNJ13"
"Melanocytic_Differentiation","KIAA1211"
"Melanocytic_Differentiation","KIF13A"
"Melanocytic_Differentiation","LAPTM4B"
"Melanocytic_Differentiation","LONP2"
"Melanocytic_Differentiation","LZTS1"
"Melanocytic_Differentiation","MCC"
"Melanocytic_Differentiation","MDGA2"
"Melanocytic_Differentiation","MFAP3L"
"Melanocytic_Differentiation","MIPEP"
"Melanocytic_Differentiation","MITF"
"Melanocytic_Differentiation","MLANA"
"Melanocytic_Differentiation","MLPH"
"Melanocytic_Differentiation","MRPL44"
"Melanocytic_Differentiation","MXI1"
"Melanocytic_Differentiation","MYO10"
"Melanocytic_Differentiation","MYO5A"
"Melanocytic_Differentiation","NLGN1"
"Melanocytic_Differentiation","NRBP2"
"Melanocytic_Differentiation","NUFIP1"
"Melanocytic_Differentiation","OR7A5"
"Melanocytic_Differentiation","OSBPL9"
"Melanocytic_Differentiation","OTUD7B"
"Melanocytic_Differentiation","PAX3"
"Melanocytic_Differentiation","PCYT2"
"Melanocytic_Differentiation","PDHA1"
"Melanocytic_Differentiation","PFKFB2"
"Melanocytic_Differentiation","PHLPP1"
"Melanocytic_Differentiation","PMEL"
"Melanocytic_Differentiation","POMT2"
"Melanocytic_Differentiation","PPM1H"
"Melanocytic_Differentiation","PRAME"
"Melanocytic_Differentiation","PYURF"
"Melanocytic_Differentiation","RGS20"
"Melanocytic_Differentiation","S100B"
"Melanocytic_Differentiation","SEMA6A"
"Melanocytic_Differentiation","SGCD"
"Melanocytic_Differentiation","SLC18B1"
"Melanocytic_Differentiation","SLC24A5"
"Melanocytic_Differentiation","SLC3A2"
