"Package","Version"
"abind","1.4-8"
"alluvial","0.1-2"
"annotate","1.88.0"
"AnnotationDbi","1.72.0"
"ape","5.8-1"
"argparse","2.3.1"
"AsioHeaders","1.30.2-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.4.0"
"AUCell","1.32.0"
"av","0.9.6"
"babelgene","22.9"
"babynames","1.0.1"
"backports","1.5.1"
"base","4.5.2"
"base64enc","0.1-6"
"batchelor","1.26.0"
"bbmle","1.0.25.1"
"bbotk","1.12.0"
"bdsmatrix","1.3-7"
"beachmat","2.26.0"
"beanplot","1.3.1"
"bench","1.1.4"
"bezier","1.1.2"
"BH","1.90.0-1"
"bigD","0.3.1"
"bigmemory","4.6.6"
"bigmemory.sri","0.1.8"
"Biobase","2.70.0"
"BiocFileCache","3.0.0"
"BiocGenerics","0.56.0"
"BiocIO","1.20.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.4.0"
"BiocParallel","1.44.0"
"BiocSingular","1.26.1"
"BiocVersion","3.22.0"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.8.4"
"bitops","1.1-0"
"blob","1.3.0"
"bookdown","0.47"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.13"
"bsicons","0.1.2"
"bslib","0.12.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"cards","0.9.0"
"cardx","0.3.4"
"caret","7.0-1"
"caTools","1.18.4"
"CellChat","2.2.0.9001"
"cellranger","1.1.0"
"checkmate","2.3.4"
"chromote","0.5.1"
"cigarillo","1.0.0"
"circlize","0.4.18"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.6"
"clipr","0.8.1"
"clock","0.7.4"
"clue","0.3-68"
"cluster","2.1.8.1"
"cmprsk","2.2-12"
"coda","0.19-4.1"
"codetools","0.2-20"
"coin","1.4-5"
"collapse","2.1.7"
"colorspace","2.1-3"
"commonmark","2.0.0"
"compiler","4.5.2"
"ComplexHeatmap","2.26.1"
"conflicted","1.2.0"
"copykat","1.1.0"
"corpcor","1.6.10"
"corrplot","0.95"
"countrycode","1.9.0"
"covr","3.6.5"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.6.1"
"datasets","4.5.2"
"DBI","1.3.0"
"dbplyr","2.6.0"
"dcurves","0.5.1"
"decor","1.0.2"
"DelayedArray","0.36.1"
"DelayedMatrixStats","1.32.0"
"deldir","2.0-4"
"dendextend","1.19.1"
"DEoptimR","1.2-1"
"Deriv","4.3.0"
"desc","1.4.3"
"DESeq2","1.50.2"
"deSolve","1.42"
"devtools","2.5.2"
"diagram","1.6.5"
"DiagrammeR","1.0.12"
"DiagrammeRsvg","0.1"
"dichromat","2.0-1"
"diffobj","0.3.8"
"digest","0.6.39"
"dlm","1.1-6.1"
"doBy","4.7.2"
"doMPI","0.2.2"
"doParallel","1.0.17"
"dotCall64","1.2"
"DoubletFinder","2.0.6"
"downlit","0.4.5"
"dplyr","1.2.1"
"dqrng","0.4.1"
"dtplyr","1.3.3"
"dynamicTreeCut","1.63-1"
"e1071","1.7-17"
"edgeR","4.8.2"
"ellipsis","0.3.3"
"emmeans","2.0.4"
"estimability","2.0.0"
"estimate","1.0.13"
"evaluate","1.0.5"
"exactRankTests","0.8-37"
"fansi","1.0.7"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastDummies","1.7.6"
"fastGHQuad","1.0.1"
"fastICA","1.2-8"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fgsea","1.36.2"
"fields","17.3"
"filelock","1.0.3"
"findpython","1.0.9"
"fitdistrplus","1.2-6"
"flexsurv","2.3.2"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-90"
"formatR","1.14"
"formattable","0.2.1"
"Formula","1.2-6"
"formula.tools","1.7.1"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.75.0"
"future.apply","1.20.2"
"gapminder","1.0.1"
"gargle","1.6.1"
"gdata","3.0.1"
"genefilter","1.92.0"
"generics","0.1.4"
"GenomeInfoDb","1.46.2"
"GenomicAlignments","1.46.0"
"GenomicFeatures","1.62.0"
