SessionInfo_file,Module,Record_type,Release_priority,Related_public_script_or_runner,Run_date,R_version,Platform,Running_under,Time_zone,GitHub_path,Purpose,Notes
sessionInfo_01_GSE244982_bulk_state_scoring.txt,Bulk / external ICB analysis,ANALYSIS_SCRIPT,SUPPORTING,01_GSE244982_bulk_state_scoring.R,2026/9/9,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_01_GSE244982_bulk_state_scoring.txt,Environment record for the final clean-run analysis script: 01_GSE244982_bulk_state_scoring.R.,
sessionInfo_02_GSE78220_state_scoring_response_survival_analysis.txt,Bulk / external ICB analysis,ANALYSIS_SCRIPT,SUPPORTING,02_GSE78220_state_scoring_response_survival.R,2026/9/9,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_02_GSE78220_state_scoring_response_survival_analysis.txt,Environment record for the final clean-run analysis script: 02_GSE78220_state_scoring_response_survival.R.,
sessionInfo_04_GSE91061_state_scoring_response_analysis.txt,Bulk / external ICB analysis,ANALYSIS_SCRIPT,SUPPORTING,04_GSE91061_state_scoring_response_analysis.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_04_GSE91061_state_scoring_response_analysis.txt,Environment record for the final clean-run analysis script: 04_GSE91061_state_scoring_response_analysis.R.,
sessionInfo_05_bulk_response_sensitivity_analysis.txt,Bulk / external ICB analysis,ANALYSIS_SCRIPT,SUPPORTING,05_bulk_response_sensitivity_analysis.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_05_bulk_response_sensitivity_analysis.txt,Environment record for the final clean-run analysis script: 05_bulk_response_sensitivity_analysis.R.,
sessionInfo_03_state_scoring_robustness_analysis.txt,Bulk / external ICB analysis,ANALYSIS_SCRIPT,SUPPORTING,03_state_scoring_robustness_analysis.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_03_state_scoring_robustness_analysis.txt,Environment record for the final clean-run analysis script: 03_state_scoring_robustness_analysis.R.,
sessionInfo_06_GSE244983_scRNA_preprocess_major_annotation.txt,GSE244983 scRNA-seq analysis,ANALYSIS_SCRIPT,SUPPORTING,06_GSE244983_scRNA_preprocess_major_annotation.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_06_GSE244983_scRNA_preprocess_major_annotation.txt,Environment record for the final clean-run analysis script: 06_GSE244983_scRNA_preprocess_major_annotation.R.,Actual archived sessionInfo filename uses public label 06; use this index as the release mapping authority.
sessionInfo_08_GSE244983_scRNA_state_localization_source_attribution.txt,GSE244983 scRNA-seq analysis,ANALYSIS_SCRIPT,SUPPORTING,07_GSE244983_scRNA_state_localization_source_attribution_v1.2.4_FINAL.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_08_GSE244983_scRNA_state_localization_source_attribution.txt,Environment record for the final clean-run analysis script: 07_GSE244983_scRNA_state_localization_source_attribution_v1.2.4_FINAL.R.,Historical/session label 08 maps to public script 07; filename retained unchanged.
sessionInfo_09_GSE244983_CAF_stromal_analysis.txt,GSE244983 scRNA-seq analysis,ANALYSIS_SCRIPT,SUPPORTING,08_GSE244983_CAF_stromal_analysis.R,2026/9/11,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_09_GSE244983_CAF_stromal_analysis.txt,Environment record for the final clean-run analysis script: 08_GSE244983_CAF_stromal_analysis.R.,Successful public rerun completed on 2026-09-11. The regenerated sessionInfo is byte-identical to the earlier copy because the R/package environment was unchanged; run-date provenance is provided by the 2026-09-11 execution log.
sessionInfo_10_GSE244983_malignant_subclustering.txt,GSE244983 scRNA-seq analysis,ANALYSIS_SCRIPT,SUPPORTING,08b_GSE244983_malignant_subclustering_v1.4.2_FINAL.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_10_GSE244983_malignant_subclustering.txt,Environment record for the final clean-run analysis script: 08b_GSE244983_malignant_subclustering_v1.4.2_FINAL.R.,Historical/session label 10 maps to public script 08b; filename retained unchanged.
sessionInfo_10_S20_full_sequential_reproduction.txt,External spatial recurrence (S20),MODULE_RUNNER,PRIMARY,run_10_S20_full_sequential_reproduction.R,2026/9/10,4.5.2 (2025-10-31 ucrt),x86_64-w64-mingw32/x64,Windows 11 x64 (build 26200),Asia/Shanghai,release_metadata/sessionInfo/sessionInfo_10_S20_full_sequential_reproduction.txt,Module-level environment record for the final sequential reproduction of External spatial recurrence (S20).,
